name,party,chamber,state,median_rt,tweet_count,LLS
Mike Quigley,Democrat,House,IL,4.0,3239,32.33
Dina Titus,Democrat,House,NV,4.0,3237,32.33
Rep. Hank Johnson,Democrat,House,GA,4.0,3227,32.32
Fred Upton,Republican,House,MI,4.0,3218,32.31
Rep. Emanuel Cleaver,Democrat,House,MO,4.0,3217,32.31
Governor Mary Fallin,Republican,House,OK,4.0,3215,32.3
Jared Polis,Democrat,House,CO,4.0,3206,32.29
Peter Roskam,Republican,House,IL,4.0,3201,32.29
US Rep Kathy Castor,Democrat,House,FL,4.0,3201,32.29
Diane Black,Republican,House,TN,4.0,3200,32.28
Raja Krishnamoorthi,Democrat,House,IL,5.0,631,32.24
Louise Slaughter,Democrat,House,NY,4.0,2724,31.64
John Kennedy,Republican,Senate,LA,3.0,305,30.91
Barbara Comstock,Republican,House,VA,4.0,2143,30.68
Rep. Carlos Curbelo,Republican,House,FL,4.0,2048,30.5
Rep. Zoe Lofgren,Democrat,House,CA,4.0,1800,29.98
Rep. Jared Huffman,Democrat,House,CA,4.0,1764,29.9
Sen. Heidi Heitkamp,Democrat,Senate,ND,2.0,3245,29.11
Shelley Moore Capito,Republican,Senate,WV,2.0,3240,29.1
Senator Mike Crapo,Republican,Senate,ID,2.0,3222,29.08
Rep. Charlie Crist,Democrat,House,FL,5.0,311,28.72
Mark DeSaulnier,Democrat,House,CA,4.0,1302,28.69
Ted Budd,Republican,Senate,NC,3.0,194,28.47
Rep. Kevin Cramer,Republican,Senate,ND,2.0,2108,27.55
Congressman Al Green,Democrat,House,TX,4.0,934,27.36
Markwayne Mullin,Republican,Senate,OK,2.0,1952,27.28
Jeb Hensarling,Republican,House,TX,4.0,802,26.75
Rep. Peter Welch,Democrat,Senate,VT,2.0,1446,26.2
Raul Ruiz,Democrat,House,CA,4.0,653,25.93
Rep. Jimmy Panetta,Democrat,House,CA,4.0,434,24.3
Jim Himes,Democrat,House,CT,3.0,3245,24.26
Rep. Scott Peters,Democrat,House,CA,3.0,3248,24.26
Lynn Jenkins,Republican,House,KS,3.0,3240,24.25
US Rep Brendan Boyle,Democrat,House,PA,3.0,3235,24.25
Rep. Norma Torres,Democrat,House,CA,3.0,3234,24.25
John Shimkus,Republican,House,IL,3.0,3231,24.24
Rep. Frank Pallone,Democrat,House,NJ,3.0,3231,24.24
John Garamendi,Democrat,House,CA,3.0,3230,24.24
Rep Frederica Wilson,Democrat,House,FL,3.0,3227,24.24
Rep. Lois Frankel,Democrat,House,FL,3.0,3226,24.24
U.S. Rep. Billy Long,Republican,House,MO,3.0,3230,24.24
Rep. Ed Perlmutter,Democrat,House,CO,3.0,3222,24.23
Rep. Suzan DelBene,Democrat,House,WA,3.0,3215,24.23
Rep. Will Hurd,Republican,House,TX,3.0,3217,24.23
Lloyd Doggett,Democrat,House,TX,3.0,3207,24.22
André Carson,Democrat,House,IN,3.0,3117,24.13
Brenda Lawrence,Democrat,House,MI,3.0,3011,24.03
Alma S. Adams,Democrat,House,NC,3.0,2822,23.84
D. Wasserman Schultz,Democrat,House,FL,3.0,2761,23.77
Chellie Pingree,Democrat,House,ME,3.0,2666,23.67
Mike Thompson,Democrat,House,CA,3.0,2625,23.62
Tom Emmer,Republican,House,MN,3.0,2627,23.62
Marcy Kaptur,Democrat,House,OH,3.0,2611,23.6
Ann Wagner,Republican,House,MO,3.0,2525,23.5
Rep. Andy Barr,Republican,House,KY,3.0,2470,23.44
Rep. Cheri Bustos,Democrat,House,IL,3.0,2441,23.4
Jason Lewis,Republican,House,MN,4.0,335,23.27
Linda T. Sánchez,Democrat,House,CA,3.0,2231,23.13
Rep. Doris Matsui,Democrat,House,CA,3.0,2216,23.11
Nita Lowey,Democrat,House,NY,3.0,2167,23.04
Rep. Mark Walker,Republican,House,NC,3.0,2094,22.94
Rep. Brian Mast,Republican,House,FL,4.0,305,22.89
Robin Kelly,Democrat,House,IL,3.0,2038,22.86
Suzanne Bonamici,Democrat,House,OR,3.0,1921,22.68
Rep. Walter Jones,Republican,House,VA,3.0,1900,22.65
Rep. Mike Kelly,Republican,House,PA,3.0,1804,22.49
Kathleen Rice,Democrat,House,NY,3.0,1797,22.48
Brian Babin,Republican,House,TX,3.0,1753,22.41
Rep.Grace Napolitano,Democrat,House,CA,3.0,1635,22.2
Gary Palmer,Republican,House,AL,3.0,1630,22.19
Congressman Rod Blum,Republican,House,IA,3.0,1628,22.19
Mike Bishop,Republican,House,MI,3.0,1392,21.72
Rep. Juan Vargas,Democrat,House,CA,3.0,1365,21.66
Rep. Ro Khanna,Democrat,House,CA,3.0,1083,20.97
Congressman Ken Buck,Republican,House,CO,3.0,1077,20.95
Rep. Pete Aguilar,Democrat,House,CA,3.0,1032,20.82
Rep. John Sarbanes,Democrat,House,MD,3.0,973,20.64
Lee Zeldin,Republican,House,NY,3.0,904,20.42
Ted Yoho,Republican,House,FL,3.0,792,20.03
John Katko,Republican,House,NY,3.0,426,18.17
Dave Trott,Republican,House,MI,3.0,359,17.66
Rep. Duncan Hunter,Republican,House,CA,3.0,290,17.02
Rep. Erik Paulsen,Republican,House,MN,2.0,3237,16.17
Paul Tonko,Democrat,House,NY,2.0,3244,16.17
Rep. Bill Huizenga,Republican,House,MI,2.0,3241,16.17
Sean Duffy,Republican,House,WI,2.0,3240,16.17
Rep. Jeff Duncan,Republican,House,SC,2.0,3245,16.17
Brad Wenstrup,Republican,House,OH,2.0,3244,16.17
Elizabeth Esty,Democrat,House,CT,2.0,3237,16.17
Jackie Walorski,Republican,House,IN,2.0,3240,16.17
Blake Farenthold,Republican,House,TX,2.0,3226,16.16
Pete Sessions,Republican,House,TX,2.0,3234,16.16
Mimi Walters,Republican,House,CA,2.0,3231,16.16
Ted Poe,Republican,House,TX,2.0,3221,16.16
Tom Graves,Republican,House,GA,2.0,3226,16.16
Rep Rick Crawford,Republican,House,AR,2.0,3227,16.16
Rep. Bill Flores,Republican,House,TX,2.0,3221,16.16
Rep. Randy Hultgren,Republican,House,IL,2.0,3226,16.16
Rep Tim Walberg,Republican,House,MI,2.0,3223,16.16
Niki Tsongas,Democrat,House,MA,2.0,3232,16.16
Patrick Meehan,Republican,House,PA,2.0,3230,16.16
David Young,Republican,House,IA,2.0,3232,16.16
Rep. Doug Lamborn,Republican,House,CO,2.0,3230,16.16
Richard Hudson,Republican,House,NC,2.0,3236,16.16
Grace Meng,Democrat,House,NY,2.0,3222,16.16
Virginia Foxx,Republican,House,NC,2.0,3213,16.15
Judge Carter,Republican,House,TX,2.0,3206,16.15
Rep. Sam Graves,Republican,House,MO,2.0,3207,16.15
Dennis Ross,Republican,House,FL,2.0,3218,16.15
Adriano Espaillat,Democrat,House,NY,2.0,3208,16.15
Rep. Martha Roby,Republican,House,AL,2.0,3220,16.15
Rep. Kristi Noem,Republican,House,SD,2.0,3208,16.15
Rep. Vicky Hartzler,Republican,House,MO,2.0,3208,16.15
Rep. Kevin Yoder,Republican,House,KS,2.0,3205,16.15
Rep. Rick Larsen,Democrat,House,WA,2.0,3211,16.15
US Rep Rodney Davis,Republican,House,IL,2.0,3207,16.15
Rep. Tony Cárdenas,Democrat,House,CA,2.0,3216,16.15
U.S. Rep. Bob Latta,Republican,House,OH,2.0,3192,16.14
Patrick McHenry,Republican,House,NC,2.0,3200,16.14
Brian Higgins,Democrat,House,NY,2.0,3199,16.14
Rep. Joe Courtney,Democrat,House,CT,2.0,3203,16.14
Rep. Steve Womack,Republican,House,AR,2.0,3196,16.14
David Cicilline,Democrat,House,RI,2.0,3204,16.14
Rep. Bradley Byrne,Republican,House,AL,2.0,3201,16.14
Scott Taylor,Republican,House,VA,2.0,3183,16.13
Scott DesJarlais,Republican,House,TN,2.0,3165,16.12
Hal Rogers,Republican,House,KY,2.0,3125,16.1
Rep. Bruce Westerman,Republican,House,AR,2.0,3110,16.09
Gregory Meeks,Democrat,House,NY,2.0,3004,16.02
RepScottPerry,Republican,House,PA,2.0,2887,15.94
Rep. Tom Marino,Republican,House,PA,2.0,2891,15.94
Rep. Doug Collins,Republican,House,GA,2.0,2862,15.92
Lamar Smith,Republican,House,TX,2.0,2851,15.91
Steve Stivers,Republican,House,OH,2.0,2765,15.85
Rep. Bob Gibbs,Republican,House,OH,2.0,2736,15.83
Rep. Mike Coffman,Republican,House,CO,2.0,2683,15.79
Denny Heck,Democrat,House,WA,2.0,2670,15.78
Rep. Chris Stewart,Republican,House,UT,2.0,2600,15.73
"Rep. Andy Harris, MD",Republican,House,MD,2.0,2597,15.72
Rep. Alan Lowenthal,Democrat,House,CA,2.0,2568,15.7
Rep. Adrian Smith,Republican,House,NE,2.0,2535,15.68
Congressman Ami Bera,Democrat,House,CA,2.0,2523,15.67
Rep. David Kustoff,Republican,House,TN,3.0,179,15.58
Rep. Marc Veasey,Democrat,House,TX,2.0,2401,15.57
Rep. Jason Smith,Republican,House,MO,2.0,2389,15.56
Bill Foster,Democrat,House,IL,2.0,2341,15.52
Rep. Garret Graves,Republican,House,LA,2.0,2326,15.5
Rep. Elise Stefanik,Republican,House,NY,2.0,2275,15.46
Rep. Roger Williams,Republican,House,TX,2.0,2259,15.45
Rep. John Larson,Democrat,House,CT,2.0,2241,15.43
Rep. Adam Smith,Democrat,House,WA,2.0,2125,15.32
US Rep. Mike Turner,Republican,House,OH,2.0,2091,15.29
Joe Barton,Republican,House,TX,2.0,1965,15.17
Rep. Greg Walden,Republican,House,OR,2.0,1972,15.17
Tom Suozzi,Democrat,House,NY,3.0,154,15.13
Rep. Evan Jenkins,Republican,House,WV,2.0,1909,15.11
Rep. Lou Barletta,Republican,House,PA,2.0,1896,15.1
Devin Nunes,Republican,House,CA,2.0,1788,14.98
Jerry McNerney,Democrat,House,CA,2.0,1705,14.88
Rep. Luke Messer,Republican,House,IN,2.0,1680,14.85
Rep. Susan Davis,Democrat,House,CA,2.0,1603,14.76
John Ratcliffe,Republican,House,TX,2.0,1602,14.76
Rep. Brad Schneider,Democrat,House,IL,2.0,1560,14.71
Tom MacArthur,Republican,House,NJ,2.0,1549,14.69
Rep. Derek Kilmer,Democrat,House,WA,2.0,1513,14.65
Rep. Paul Cook,Republican,House,CA,2.0,1497,14.62
Blaine Luetkemeyer,Republican,House,MO,2.0,1452,14.56
Senator Todd Young,Republican,Senate,IN,1.0,3140,14.49
Rep. Gene Green,Democrat,House,TX,2.0,1387,14.47
Rep. Don Young,Republican,House,AK,2.0,1373,14.45
